Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Operating System,Memory Technology,Price
HP,2.04,4,1024,2.4,Core i3 7100U,15.6,Windows 10 Home,GDDR4,30290
HP,,8,1024,3.9,Core i5,14,Windows 10 Home,DDR4 SDRAM,46861
HP,2.76,4,1024,1.6,Core i5,15.6,Windows 10,DDR SDRAM,42094
HP,2.04,8,1024,3.4,Core i5 8250U,15.6,DOS,GDDR5,43998
HP,1.59,4,1,2.1,Core i3,14,Windows 10 Home,DDR4,49289
HP,2.04,4,1024,3.1,Core i5 7200U,15.6,Windows 10 Home,DDR4,36990
HP,1.47,4,1024,2.3,Core i3 7100U,14,Windows 10,DDR4,35770
HP,2.04,8,1024,2.3,Core i3 7100U,15.6,Windows 10,GDDR5,39490
HP,2.25,8,1024,2.4,Core i5,15.6,Windows 10,DDR4,68990
HP,1.77,8,1024,1.6,Core i5,15.6,Windows 10 Home,DDR4 SDRAM,50371
HP,2.04,8,1,3.4,Core i5 8250U,15.6,Windows 10 Home,GDDR3,53988
HP,1.86,4,1024,2.5,Core i5,15.6,DOS,GDDR3,35999
HP,1.39,4,1,4,Core i3 8130U,11.6,Windows 10 Home,DDR4,38990
HP,1.86,8,1,1.6,Core i5,15.6,DOS,DDR4,41058
HP,1.77,8,1024,1.6,Core i5,15.6,Windows 10,DDR4 SDRAM,41990
HP,2.04,8,1024,2.3,Core i3,15.6,DOS,GDDR5,38150
HP,1.85,8,1024,3.9,Core i5,15.6,Windows 10,GDDR5,60350
HP,1.59,4,1024,2.1,Core i3,14,Windows 10 Home,DDR4,55498
HP,1.59,4,1,2.2,Core i3,14,Windows 10 Home,DDR SDRAM,38490
HP,2.19,8,1,2.3,Core i5 6200U,15.6,Windows 10 Home,GDDR3,47267
HP,1.43,8,1024,3.9,Core i5 8250U,14,Windows 10 Home Single Language 64,DDR4 SDRAM,38242
HP,1.54,8,1,1.6,Core i5,14,Windows 10,DDR3 SDRAM,51990
HP,2.1,4,1024,1.6,Core i5,15.6,windows 10,DDR4 SDRAM,35333
HP,2.19,4,1,2,Core i3-5005U,15.6,Windows 10 Home,DDR3,36665
HP,2.17,4,1024,2.3,Core i5,15.6,Windows 10 Home,DDR4,58990
HP,1.96,4,1024,2,Core i3,15.6,windows 10,DDR SDRAM,35800
HP,2.17,4,1024,2.3,Core i5,15.6,Windows 10 Home,GDDR5,67990
HP,2.04,4,1024,2.5,Core i5,15.6,Windows 10 Home,GDDR3,53978
HP,2.1,4,1,2.5,Core i5,15.6,Windows 10 Home,DDR4,35990
HP,2.04,8,1,3.4,Core i5 8250U,15.6,Windows 10 Home,GDDR3,43990
HP,2.87,4,1024,2.3,Core i3,14,windows 10 pro,DDR4 SDRAM,43999
HP,2.6,8,1,2.5,Core i5,15.6,Windows 10 Home,DDR4,66990
HP,2.86,4,1024,2,Core i3,14,Windows 10 Pro,DDR4 SDRAM,48170
HP,2.03,8,1024,2.7,Core i7,15.6,Windows 10 Home,GDDR3,60990
HP,1.59,8,1,1.6,Core i5,14,Windows 10 Home,DDR4,64490
Lenovo,1.8,8,1,3.9,Core i5,15.6,Windows 10 Home,DDR4,60800
Lenovo,1.85,8,1024,3.9,Core i5,15.6,DOS,DDR4,39990
Lenovo,1.6,4,1024,2.3,Core i3,14,Windows 10 Home,DDR4 SDRAM,30400
Lenovo,2.2,4,1,2.3,Core i3,15.6,Windows 10 Home,DDR4,35990
Lenovo,1.85,8,1024,3.9,Core i5,15.6,DOS,DDR4,40990
Lenovo,1.6,4,1024,2.3,Core i3,14,Windows 10 Home,DDR4,31590
Lenovo,2.2,8,2,1.6,Core i5 8250U,15.6,Windows 10 Home,DDR4 SDRAM,47990
Lenovo,,8,1024,3.9,Core i5,15.6,Windows 10 Home,DDR4,45490
Lenovo,2.2,4,1024,2.3,Core i3,15.6,Windows 10 Home,"DDR4, Optane",37686
Lenovo,1.69,4,1024,2.2,Core i3 8130U,14,Windows 10,DDR4,33968
Lenovo,1.7,4,1024,2.2,Core i3 8130U,14,Windows 10 Home,DDR4,41989
Lenovo,2.2,8,1024,4,Core i5 8300H,15.6,Windows 10 Home,DDR4,51616.4
Lenovo,1.8,4,1024,2.3,Core i3,15.6,Windows 10 Home,DDR4 SDRAM,34328
Lenovo,2.2,4,1024,3.4,Core i5 8250U,15.6,Windows 10,DDR4,40990
Lenovo,1.8,4,1024,1.6,Core i5 8250U,15.6,Windows 10 Home,DDR4,46999
Lenovo,2.2,8,1024,3.4,Core i5 8250U,15.6,DOS,DDR4,48990
Lenovo,2.2,8,1024,3.9,Core i5,15.6,Windows 10 Home,DDR4,46310
Lenovo,2.2,8,1024,1.6,Core i5 8250U,15.6,Windows 10 Home,DDR4 SDRAM,53981
Lenovo,2.2,8,1024,3.4,Core i5 8250U,15.6,Windows 10 Home,DDR4 SDRAM,44984
Lenovo,1.7,4,1024,2.2,Core i3 8130U,14,Windows 10,GDDR4,39999
Lenovo,2.2,8,2,3.4,Core i5 8250U,15.6,Windows 10 Home,DDR4,57390
Lenovo,2.2,4,1024,2.7,Core i3,15.6,Windows 10,DDR4 SDRAM,30480
Lenovo,1.8,8,512,3.9,Core i5,15.6,Windows 10 Home,DDR4,66920
Lenovo,2.2,4,1024,2.3,Core i3,15.6,Windows 10,DDR4,33990
LENOVO,2.75,4,1024,2.2,Core i3,15.6,windows 10,DDR4 SDRAM,32990
Lenovo,1.4,4,1024,2.3,Core i5,14,DOS,DDR SDRAM,33990
Lenovo,2.3,8,1024,4,Core i5 8300H,15,Windows 10 Home,DDR4,59994
Lenovo,2.8,4,1024,2.3,Core i3,15.6,DOS,DDR3 SDRAM,31900
Lenovo,2.1,4,1024,3.9,Core i3,15.6,Windows 10 Home,DDR4,32730
Lenovo,2.2,8,1024,2.4,Core i3 7100U,15.6,Windows 10,DDR4 SDRAM,35989
Lenovo,1.6,4,1024,2,Core i3,14,DOS,DDR SDRAM,30500
Lenovo,1.8,8,512,3.9,Core i5,15.6,Windows 10 Home,DDR4,58000
Lenovo,2.2,4,2,3.1,Core i5,15.6,Windows 10,DDR4,49990
Lenovo,1.69,4,1,1.6,Core i5,14,windows 10,DDR4 SDRAM,44999
Lenovo,1.7,4,1024,2.3,Core i7,13.3,windows 10,DDR3 SDRAM,30390
Lenovo,2.2,8,2,1.6,Core i5 8250U,15.6,Windows 10 Home,DDR4 SDRAM,52905
Lenovo,2,4,1024,2.5,Core i5,15.6,windows 10,SDRAM,40000
Lenovo,3.16,4,1024,2.2,Core i5,15.6,DOS,DDR3L,32999
Lenovo,1.69,8,512,3.4,Core i5 8250U,15.6,Windows 10,DDR4,62990
Lenovo,1.74,8,1024,3.1,Core i5,14,Windows 10,DDR4,63400
Lenovo,2.2,8,1024,2.3,Core i3,15.6,DOS,DDR4,33250
Lenovo,2.2,4,1024,2.2,Core i3,15.6,Windows 10 Home,DDR4 SDRAM,35990
Lenovo,1.7,8,1024,1.6,Core i5 8250U,14,Windows 10 Home,DDR4 SDRAM,52990
Lenovo,1.67,8,1024,1.6,Core i5 8250U,14,Windows 10,DDR4 SDRAM,55000
Lenovo,1.75,4,500,2.3,Core i3,14,Windows 10 Home,DDR4,39190
Lenovo,2.2,8,1,4,Core i5 8300H,15.6,Windows 10,DDR4,47990
Lenovo,2.1,8,1024,3.4,Core i5 8250U,15.6,Windows 10 Home,DDR4,48719
Lenovo,2.4,8,1,2.5,Core i7,15.6,Windows 10,DDR3L,45999
Dell,2.5,8,1024,2.3,Core i5,15.6,Windows 10,DDR4,64251
Dell,4.54,12,1024,1.8,Core i7,156,Windows 10 Home,DDR4 SDRAM,61500
Dell,2.03,4,1024,2.3,Core i3,15.6,windows 10,DDR4 SDRAM,31863
Dell,2.13,4,1024,1.6,Core i5,15.6,Windows 10,DDR4 SDRAM,40990
Dell,2.1,8,1,3.9,Core i5,15.6,Windows 10 With Office 2016,DDR4 SDRAM,47085
Dell,1.7,4,1024,2.1,Core i3,14,windows 10,DDR4 SDRAM,45972
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4 SDRAM,49950
Dell,2.28,8,1024,1.6,Core i5 8400T,15.6,Linux,DDR4 SDRAM,48499
Dell,2.97,8,1,2.3,Core i3,15.6,Windows 10 With Office 2019,DDR4 SDRAM,36599
Dell,2.98,8,1,2.3,Core i3,15.6,Windows 10 With Office 2019,DDR4 SDRAM,36599
Dell,2.18,8,1,2.3,Core i3,15.6,Windows 10 With Office 2016,DDR4 SDRAM,33400
Dell,1.62,8,1024,3.4,Core i5,13.3,Windows 10,DDR3 SDRAM,63599
Dell,1.72,8,1024,2.3,Core i3,14,DOS,DDR4 SDRAM,31575
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4 SDRAM,49850
Dell,2.74,4,1024,1.6,Core i3,14,Windows 10,DDR4,53626
Dell,2.5,4,1,2.5,Core i5,15.6,DOS,DDR4 SDRAM,43500
Dell,1.5,4,1024,1.6,Core i5 8250U,15.6,windows 10,DDR4 SDRAM,46673
Dell,3.02,4,1024,3.9,Core i3,15.6,DOS,DDR4 SDRAM,33990
Dell,2.5,16,2,3,Core i5,15.6,Windows 10 Home,DDR4,49658
Dell,3.08,8,1024,1.8,Core i7,15,DOS,DDR4 SDRAM,58685
Dell,2,8,1024,2.3,Core i3,15.6,windows 10,DDR4 SDRAM,35890
Dell,,8,1,3.9,Core i3,14,Linux,DDR4 SDRAM,36900
Dell,2.5,4,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4,43999
Dell,2.97,8,1,3.9,Core i5,15.6,Windows 10,DDR4 SDRAM,51499
Dell,2,4,1024,1.8,Core i7,14,Windows 10 Home,DDR4 SDRAM,54999
Dell,2.25,8,1024,2.3,Core i5,15.6,Windows 10,DDR4,59490
Dell,1.62,8,1024,2.4,Core i3,13.3,Windows 10 Home,SODIMM,44850
Dell,2.18,8,1024,2.3,Core i3,15.6,Windows 10,DDR4 SDRAM,32700
Dell,3.79,4,500,2.4,Core i3 7100U,15.6,Windows 10 Professional,GDDR4,49000
Dell,3.5,4,1,3.1,Core i5,15.6,Windows 10 Home,DDR4,42990
Dell,2.2,20,1024,2.7,Core i7,15.6,Windows 10 Home,DDR SDRAM,58999
Dell,1.62,4,1,2.4,Core i3,13.3,windows 10 Home,DDR4,39000
Dell,2.2,8,2,3.4,Core i5,15.6,Windows 10 With Office 2016,GDDR5,58999
Dell,4,4,1,2.4,Core i3,13.3,Windows 10,DDR3,34990
Dell,2.24,4,1024,2,Core i3,15.6,windows 10,DDR4 SDRAM,31699
Dell,2.2,4,1024,1.6,Core i5,15.6,Win 10,DDR4,51099
Dell,3.43,8,2048,3.1,Core i5 7200U,15.6,Windows 10 With Office 2016,DDR4 SDRAM,53499
Dell,6.82,4,1024,2.4,Core i3,19.5,Windows 10,DDR SDRAM,40990
Dell,3.1,8,1024,1.8,Core i7,15,Windows 10,DDR4 SDRAM,66570
Dell,2.5,4,1024,2,Core i3,15.6,Windows 10,DDR4 SDRAM,34990
Dell,3.4,8,1024,3.1,Core i5,15.6,Linux,DDR SDRAM,48990
Dell,1.68,8,1,1.6,Core i5 8250U,13.3,Windows 10,DDR4,56990
Dell,2.18,4,1024,2,Core i3,15.6,Windows 10,DDR3 SDRAM,33800
Dell,2.65,8,1,3.9,Core i5,14,Windows 10 Professional,DDR4 SDRAM,63810
Dell,2.36,8,2,3.1,Core i5,15.6,Windows 10 with Office 2016,DDR4,64900
Dell,2,8,1,3.1,Core i5,15.6,Windows 10 Home,DDR4,51990
Asus,1.7,4,1024,1.6,Core i5 8250U,15.6,Windows 10,GDDR5,42390
Asus,1.7,8,1024,4,Core i7,15.6,Windows 10,GDDR5,64069
Asus,1.6,8,1024,3.4,Core i5 8250U,15.6,windows 10,DDR4 SDRAM,44098
Asus,1.68,8,1024,3.4,Core i5 8250U,15.6,Windows 10 Home,DDR4,40990
Asus,1.97,8,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4 SDRAM,54135
Asus,1.68,8,1024,2,Core i3,15.6,Windows 10,DDR4,35245
Asus,1.5,4,1024,3.9,Core i3,15.6,Windows 10,DDR4 SDRAM,33990
