Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Processor Brand,Operating System,Memory Technology,Price
HP,2.04,4,1024,2.40,Core i3 7100U,15.6,Intel,Windows 10 Home,DDR4,30290.0
HP,2.04,8,1024,1.70,Core i5 7200U,15.6,Intel,Windows 10 Home,DDR4,41990.0
HP,1.59,4,1,2.10,Core i3,14,Intel,Windows 10 Home,DDR4,49360.0
HP,2.04,8,1024,3.40,Core i5 8250U,15.6,Intel,DOS,DDR4,44800.0
HP,1.47,4,1024,2.30,Core i3 7100U,14,Intel,Windows 10,DDR4,35770.0
HP,2.04,8,1024,2.30,Core i3 7100U,15.6,Intel,Windows 10,DDR4,41938.0
HP,1.77,8,1024,1.60,Core i5,15.6,Intel,Windows 10 Home,DDR4,50404.0
HP,2.04,8,1,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,54985.0
HP,1.77,8,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,41990.0
HP,1.39,4,1,4,Core i3 8130U,11.6,Intel,Windows 10 Home,DDR4,40990.0
HP,2.04,8,1024,2.30,Core i3,15.6,Intel,DOS,DDR4,38250.0
HP,1.59,4,1024,2.10,Core i3,14,Intel,Windows 10 Home,DDR4,55998.0
HP,1.59,4,1,2.20,Core i3,14,Intel,Windows 10 Home,DDR4,38990.0
HP,1.39,4,1024,4,Core i3 8130U,11.6,Intel,Windows 10 Home,DDR4,33490.0
HP,1.54,8,1,1.6,Core i5,14,Intel,Windows 10,DDR4,51990.0
HP,2.19,8,1,2.3,Core i5 6200U,15.6,Intel,Windows 10 Home,DDR4,47267.0
HP,2.1,4,1,2.5,Core i5,15.6,Intel,Windows 10 Home,DDR4,35990.0
HP,2.04,4,1024,2.5,Core i5,15.6,Intel,Windows 10 Home,DDR4,53978.0
HP,2.04,8,1,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,43990.0
HP,2.19,4,1,2,Core i3-5005U,15.6,Intel,Windows 10 Home,DDR3,36665.0
HP,2.04,8,1,3.10,Core i5 7200U,15.6,Intel,Windows 10 Home,DDR4,38990.0
HP,2.17,4,1024,2.3,Core i5,15.6,Intel,Windows 10 Home,DDR4,58990.0
HP,1.59,8,1,1.8,Core i7,14,Intel,Windows 10 Home,DDR4,61500.0
HP,1.72,4,1024,2.7,Core i3,14,Intel,Windows 10 Home Single Language 64,DDR4,48990.0
HP,1.85,8,1024,3.90,Core i5,15.6,Intel,Windows 10,DDR4,60400.0
HP,2.1,8,1024,2,Core i3,15.6,Intel,Windows 10 Home,DDR4,33990.0
HP,2.03,8,1024,2.7,Core i7,15.6,Intel,Windows 10 Home,DDR4,60990.0
HP,1.59,8,1,1.6,Core i5,14,Intel,Windows 10 Home,DDR4,64490.0
Lenovo,1.85,4,1024,3.90,Core i3,15.6,Intel,Windows 10 Home,DDR4,32990.0
Lenovo,1.8,8,1,3.90,Core i5,15.6,Intel,"Windows 10, Home",DDR4,61889.0
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,39990.0
Lenovo,1.55,8,512,3.90,Core i5,14,Intel,"Windows 10, Home",DDR4,52360.0
Lenovo,1.6,4,1024,2.30,Core i3,14,Intel,Windows 10 Home,DDR4,30788.0
Lenovo,2.2,4,1,2.30,Core i3,15.6,Intel,"Windows 10, Home",DDR4,35990.0
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,40990.0
Lenovo,1.7,4,1024,3.40,Core i3,14,Intel,Windows 10 Home,DDR4,37490.0
Lenovo,1.6,4,1024,2.30,Core i3,14,Intel,"Windows 10, Home",DDR4,31640.0
Lenovo,1.55,8,1024,1.60,Core i5,14,Intel,"Windows 10, Home",DDR4,48990.0
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,"Windows 10, Home",DDR4,45490.0
Lenovo,2.2,4,1024,2.30,Core i3,15.6,Intel,Windows 10 Home,"DDR4, Optane",37686.0
Lenovo,2.2,8,1024,4,Core i5 8300H,15.6,Intel,"Windows 10, Home",DDR4,51621.4
Lenovo,1.7,4,1024,2.20,Core i3 8130U,14,Intel,Windows 10 Home,DDR4,41989.0
Lenovo,2.2,4,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10,DDR4,40990.0
Lenovo,2.2,8,1024,3.90,Core i5,15.6,Intel,"Windows 10, Home",DDR4,46495.0
Lenovo,2.2,8,1024,1.60,Core i5 8250U,15.6,Intel,DOS,DDR4,45500.0
Lenovo,2.2,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,53997.0
Lenovo,1.55,4,1,2.50,Core i5,14,Intel,DOS,DDR4,35564.2
Lenovo,2.3,8,1024,4,Core i5 8300H,15,Intel,"Windows 10, Home",DDR4,59994.0
Lenovo,1.85,8,1,1.60,Core i5,15.6,Intel,Windows 10 Home,DDR4,46010.0
Lenovo,1.7,4,1024,2.30,Core i3 8130U,14,Intel,"Windows 10, Home",DDR4,42899.0
Lenovo,2.2,4,1024,2.70,Core i3,15.6,Intel,Windows 10,DDR4,30480.0
Lenovo,2.2,8,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,46289.0
Lenovo,1.67,8,1024,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,49490.0
Lenovo,1.6,4,1,2.10,Core i3,14,Intel,Windows 10,DDR4,31330.6
Lenovo,1.8,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,44400.0
Lenovo,2.2,4,1024,2.30,Core i3,15.6,Intel,"Windows 10, Home",DDR4,30500.0
Lenovo,1.8,4,1024,2.30,Core i3,15.6,Intel,"Windows 10, Home",DDR4,34490.0
Lenovo,1.7,4,1024,2.20,Core i3 8130U,14,Intel,Windows 10,DDR4,40999.0
Lenovo,1.7,8,1,2.70,Core i3,14,Intel,Windows 10 Home High End IN App AFO,DDR4,47990.0
Lenovo,1.8,4,1024,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4,30890.0
Lenovo,1.8,8,512,3.90,Core i5,15.6,Intel,"Windows 10, Home",DDR4,58000.0
Lenovo,2.1,4,1024,3.90,Core i3,15.6,Intel,"Windows 10, Home",DDR4,32730.0
Lenovo,2.2,4,2,3.1,Core i5,15.6,Intel,Windows 10,DDR4,49990.0
Lenovo,2.2,4,1024,2.30,Core i3,15.6,Intel,Windows 10,DDR4,33990.0
Lenovo,1.8,4,1,2.30,Core i3,14,Intel,DOS,DDR4,34900.0
Lenovo,2.2,8,1024,2.30,Core i3,15.6,Intel,DOS,DDR4,33250.0
Lenovo,2.4,8,1,2.5,Core i7,15.6,Intel,Windows 10,DDR3L,45999.0
Lenovo,1.7,8,1024,1.60,Core i5 8250U,14,Intel,Windows 10 Home,DDR4,52990.0
Lenovo,1.74,8,1024,3.1,Core i5,14,Intel,Windows 10,DDR4,64499.0
Lenovo,2.2,8,1,4,Core i5 8300H,15.6,Intel,Windows 10,DDR4,47990.0
Lenovo,1.6,4,1,2.20,Core i3 8130U,14,Intel,Windows 10 Home,DDR4,36999.0
Lenovo,1.75,4,500,2.30,Core i3,14,Intel,Windows 10 Home,DDR4,39190.0
Lenovo,2.2,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,49990.0
Dell,2.5,4,1024,2.30,Core i3,15.5,Intel,Windows 10,DDR4,30500.0
Dell,2.5,8,1024,2.3,Core i5,15.6,Intel,Windows 10,DDR4,64680.0
Dell,2.5,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,43549.0
Dell,2.5,4,1,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4,30499.0
Dell,2.13,4,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,40990.0
Dell,1.62,8,1024,3.40,Core i5,13.3,Intel,Windows 10,DDR4,63000.0
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Intel,Windows 10,DDR4,49890.0
Dell,2.5,4,1,2.5,Core i5,15.6,Intel,DOS,DDR4,43500.0
Dell,2.74,4,1024,1.60,Core i3,14,Intel,Windows 10,DDR4,53823.0
Dell,2.18,4,1024,2.30,Core i3,15.6,Intel,Linux,DDR4,31800.0
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Intel,Windows 10,DDR4,49990.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,49870.0
Dell,2.25,8,1024,2.30,Core i5,15.6,Intel,Windows 10,DDR4,59490.0
Dell,1.62,8,1024,2.40,Core i3,13.3,Intel,Windows 10 Home,DDR4,44850.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,57990.0
Dell,1.62,4,1,2.40,Core i3,13.3,Intel,windows 10 Home,DDR4,40500.0
Dell,4,4,1,2.4,Core i3,13.3,Intel,Windows 10,DDR3,34990.0
Dell,2.2,4,1024,1.60,Core i5,15.6,Intel,Win 10,DDR4,51099.0
Dell,2.5,16,1024,3,Core i3,15.6,Intel,Windows 10 Home,DDR4,42980.0
Dell,1.68,8,1,1.60,Core i5 8250U,13.3,Intel,Windows 10,DDR4,56990.0
Dell,2,8,1,3.1,Core i5,15.6,Intel,Windows 10 Home,DDR4,51990.0
Dell,3.4,8,1024,3.10,Core i5,15.6,Intel,Linux,DDR4,48990.0
Asus,1.68,8,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,40990.0
Asus,1.68,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,44518.0
Asus,1.7,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 (64bit),DDR4,42390.0
Asus,1.68,4,1024,2,Core i3,15.6,Intel,Windows 10,DDR4,34689.0
